,Actual,Predicted
476,88109988,92546148.49024962
477,84722991,92546148.49024962
478,95312883,92546148.49024962
479,117042888,92546148.49024962
480,95577468,92546148.49024962
481,80091105,92546148.49024962
482,72256317,92546148.49024962
483,113172897,92546148.49024962
484,99365274,92546148.49024962
485,86244681,92546148.49024962
486,94918872,92546148.49024962
487,70155045,92546148.49024962
488,79657287,92546148.49024962
489,89359167,92546148.49024962
490,88136322,92546148.49024962
491,68765970,92546148.49024962
492,47500536,92546148.49024962
493,61395387,92546148.49024962
494,55843347,92546148.49024962
495,63985044,92546148.49024962
496,57259716,92546148.49024962
497,53230013,92546148.49024962
498,57163947,92546148.49024962
499,41864742,92546148.49024962
500,50541759,92546148.49024962
501,52107337,92546148.49024962
502,54287024,92546148.49024962
503,50890090,92546148.49024962
504,55859984,92546148.49024962
505,50028916,92546148.49024962
506,53713124,92546148.49024962
507,54470854,92546148.49024962
508,48674604,92546148.49024962
509,68229619,92546148.49024962
510,72628653,92546148.49024962
511,64795523,92546148.49024962
512,87087786,92546148.49024962
513,60231156,92546148.49024962
514,61642783,92546148.49024962
515,62555656,92546148.49024962
516,70545413,92546148.49024962
517,63748362,92546148.49024962
518,58076913,92546148.49024962
519,61925185,92546148.49024962
520,54664809,92546148.49024962
521,77620642,92546148.49024962
522,67726598,92546148.49024962
523,98363541,92546148.49024962
524,109578535,92546148.49024962
525,86982673,92546148.49024962
526,69298437,92546148.49024962
527,83916800,92546148.49024962
528,67925018,92546148.49024962
529,77013202,92546148.49024962
530,66860699,92546148.49024962
531,91483045,92546148.49024962
532,94124511,92546148.49024962
533,79428810,92546148.49024962
534,75891905,92546148.49024962
535,66571479,92546148.49024962
536,117798062,92546148.49024962
537,75713754,92546148.49024962
538,100446765,92546148.49024962
539,96507870,92546148.49024962
540,85327078,92546148.49024962
541,61638824,92546148.49024962
542,69152386,92546148.49024962
543,61554341,92546148.49024962
544,62688822,92546148.49024962
545,63070293,92546148.49024962
546,56538848,92546148.49024962
547,98622212,92546148.49024962
548,93916520,92546148.49024962
549,128803404,92546148.49024962
550,127062659,92546148.49024962
551,132703015,92546148.49024962
552,114403575,92546148.49024962
553,92226649,92546148.49024962
554,91293785,92546148.49024962
555,66567599,92546148.49024962
556,64335970,92546148.49024962
557,76048866,92546148.49024962
558,92882712,92546148.49024962
559,78452327,92546148.49024962
560,109536709,92546148.49024962
561,50672739,92546148.49024962
562,93038148,92546148.49024962
563,83357111,92546148.49024962
564,109186404,92546148.49024962
565,80046213,92546148.49024962
566,73645922,92546148.49024962
567,93122667,92546148.49024962
568,92150823,92546148.49024962
569,84213284,92546148.49024962
570,97624491,92546148.49024962
571,104872336,92546148.49024962
572,109794471,92546148.49024962
573,175862722,92546148.49024962
574,140682338,92546148.49024962
575,122334459,92546148.49024962
576,139032175,92546148.49024962
577,139390634,92546148.49024962
